YEAR;MO;DY;HR;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
2023;2;25;2;-12.5;727.9;773.8;-1.2;69;0;2;;;0;0;;;;;;;;;;;-17.1;;;;;;
2023;2;25;5;-13.6;726.7;772.8;-1.2;70;0;4;;10.0;0;0;;;;;;;;;;;-17.9;;;;;;
2023;2;25;8;-13.9;725.7;771.7;-1.0;70;0;4;;10.0;0;0;;;-14.1;;0.0;0.0;0.0;0.0;0.0;50.0;-18.2;0.0;12.0;;;0.0;38.0
2023;2;25;11;-9.5;724.9;770.2;-0.8;57;0;5;;;0;0;;;;;;;;;;50.0;-16.6;;;;;;
2023;2;25;14;-2.9;723.4;767.3;-1.5;42;0;4;;;0;0;;;;;;;;;;50.0;-14.0;;;;;;
2023;2;25;17;-3.0;722.2;766.1;-1.2;46;0;3;;;0;0;;;;;;;;;;50.0;-13.1;;;;;;
2023;2;25;20;-9.1;721.7;766.6;-0.5;66;0;3;;;0;0;;;;-1.6;0.0;0.0;0.0;0.0;0.0;;-14.4;0.0;12.0;;;;
2023;2;25;23;-9.3;720.7;765.5;-1.0;67;0;4;;;0;0;;;;;0.0;0.0;0.0;0.0;0.0;;-14.3;;;;;;
2023;2;26;2;-9.8;719.4;764.3;-1.3;69;0;4;;10.0;0;0;;;;;0.0;0.0;0.0;0.0;0.0;;-14.5;;;;;;
2023;2;26;5;-10.2;719.6;764.6;0.2;68;0;3;;;0;0;;;;;0.0;0.0;0.0;0.0;0.0;;-15.1;;;;;;
2023;2;26;8;-10.8;722.4;767.7;2.8;72;0;0;;;0;0;;;-11.5;;0.0;0.0;0.0;0.0;0.0;20.0;-15.0;0.0;12.0;;;0.0;38.0
2023;2;26;11;-5.6;723.7;768.1;1.3;55;0;0;;;0;0;;;;;0.0;0.0;0.0;0.0;0.0;20.0;-13.3;;;;;;
2023;2;26;14;-1.3;724.5;768.2;0.8;60;0;2;;;0;0;;;;;0.0;0.0;0.0;;;20.0;-8.1;;;;;;
2023;2;26;17;-2.3;726.3;770.3;1.8;90;0;3;;;0;0;0.0;0.0;;;0.0;0.0;0.0;;;1.0;-3.7;;;;;;
2023;2;26;20;-3.1;728.5;772.7;2.2;90;0;4;;;0;0;0.0;0.0;;-1.1;0.0;0.0;0.0;;;;-4.5;0.0;12.0;;;;
2023;2;26;23;-4.0;730.6;775.1;2.1;79;0;3;;;0;0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;-7.2;;;;;;
2023;2;27;2;-5.2;732.3;777.2;1.7;68;0;3;;;0;0;0.0;0.0;;;0.0;0.0;0.0;;;;-10.2;;;;;;
2023;2;27;5;-6.9;733.6;778.9;1.3;63;0;3;;;0;0;;;;;0.0;0.0;0.0;0.0;0.0;;-12.8;;;;;;
2023;2;27;8;-10.2;734.6;780.5;1.0;73;0;1;;;0;0;;;-10.2;;0.0;0.0;0.0;0.0;0.0;20.0;-14.2;0.0;12.0;;;0.0;41.0
2023;2;27;11;-6.1;735.2;780.4;0.6;53;0;2;;;0;0;;;-10.3;;0.0;0.0;0.0;0.0;0.0;50.0;-14.3;;;;;;
2023;2;27;14;-3.7;733.8;778.6;-1.4;39;0;1;;;0;0;;;;;0.0;0.0;0.0;0.0;0.0;50.0;-15.9;;;;;;
