YEAR,MO,DY,HR,N,Nh,W1,T,Po,Ff,U,sinα,Ho
2025,2,24,0,0.4,0.01,0.0,-13,723,1,72,0.0,0.0
2025,2,24,1,0.7,0.02,0.0,-12,723,1,72,0.0,0.0
2025,2,24,2,0.7,0.2,0.0,-12,724,2,71,0.0,0.0
2025,2,24,3,0.7,0.36,0.0,-12,724,2,68,0.0,0.0
2025,2,24,4,1.0,1.0,0.0,-12,724,2,80,0.0,0.0
2025,2,24,5,1.0,1.0,1.0,-10,726,2,83,0.0,0.0
2025,2,24,6,1.0,1.0,1.0,-9,727,2,83,0.0,0.0
2025,2,24,7,1.0,1.0,1.0,-8,728,2,81,0.091,360.73
2025,2,24,8,1.0,1.0,0.0,-8,728,3,78,0.227,638.02
2025,2,24,9,1.0,0.92,0.0,-8,729,3,74,0.339,864.42
2025,2,24,10,0.7,0.79,0.0,-8,729,4,64,0.417,1024.51
2025,2,24,11,0.1,0.04,0.0,-9,730,5,57,0.458,1107.38
2025,2,24,12,0.1,0.06,0.0,-9,730,5,57,0.458,1107.38
2025,2,24,13,0.7,0.86,0.0,-8,730,6,57,0.417,1024.51
2025,2,24,14,0.7,0.92,0.0,-8,730,6,57,0.339,864.42
2025,2,24,15,0.7,0.74,0.0,-8,730,5,52,0.227,638.02
2025,2,24,16,0.2,0.27,0.0,-7,730,5,48,0.091,360.73
2025,2,24,17,0.0,0.0,0.0,-7,730,4,47,0.0,0.0
2025,2,24,18,0.0,0.0,0.0,-9,729,3,49,0.0,0.0
2025,2,24,19,0.0,0.0,0.0,-11,729,2,57,0.0,0.0
2025,2,24,20,0.7,0.73,0.0,-14,728,2,69,0.0,0.0
2025,2,24,21,0.7,0.72,0.0,-16,728,1,72,0.0,0.0
2025,2,24,22,0.7,0.91,0.0,-18,727,0,74,0.0,0.0
2025,2,24,23,0.7,0.89,0.0,-15,727,1,75,0.0,0.0
2025,2,25,0,0.7,0.87,0.0,-14,727,2,76,0.0,0.0
2025,2,25,1,1.0,1.0,0.0,-14,727,2,76,0.0,0.0
