MO;DY;HR;sinα;Ho
1;1;0;0.0;0.0
1;1;1;0.0;0.0
1;1;2;0.0;0.0
1;1;3;0.0;0.0
1;1;4;0.0;0.0
1;1;5;0.0;0.0
1;1;6;0.0;0.0
1;1;7;0.0;0.0
1;1;8;0.0;0.0
1;1;9;0.0;0.0
1;1;10;0.084;118.53
1;1;11;0.175;246.88
1;1;12;0.233;328.63
1;1;13;0.254;358.23
1;1;14;0.236;333.66
1;1;15;0.182;256.59
1;1;16;0.094;132.27
1;1;17;0.0;0.0
1;1;18;0.0;0.0
1;1;19;0.0;0.0
1;1;20;0.0;0.0
1;1;21;0.0;0.0
1;1;22;0.0;0.0
1;1;23;0.0;0.0
1;2;0;0.0;0.0
1;2;1;0.0;0.0
1;2;2;0.0;0.0
1;2;3;0.0;0.0
1;2;4;0.0;0.0
1;2;5;0.0;0.0
1;2;6;0.0;0.0
1;2;7;0.0;0.0
1;2;8;0.0;0.0
1;2;9;0.0;0.0
1;2;10;0.085;120.32
1;2;11;0.176;248.74
1;2;12;0.234;330.54
1;2;13;0.255;360.16
1;2;14;0.238;335.57
1;2;15;0.183;258.46
1;2;16;0.095;134.06
1;2;17;0.0;0.0
1;2;18;0.0;0.0
1;2;19;0.0;0.0
1;2;20;0.0;0.0
1;2;21;0.0;0.0
1;2;22;0.0;0.0
1;2;23;0.0;0.0
1;3;0;0.0;0.0
1;3;1;0.0;0.0
1;3;2;0.0;0.0
1;3;3;0.0;0.0
1;3;4;0.0;0.0
1;3;5;0.0;0.0
1;3;6;0.0;0.0
1;3;7;0.0;0.0
1;3;8;0.0;0.0
1;3;9;0.0;0.0
1;3;10;0.087;122.26
1;3;11;0.178;250.75
1;3;12;0.236;332.61
1;3;13;0.257;362.25
1;3;14;0.239;337.64
1;3;15;0.184;260.48
1;3;16;0.096;136.01
1;3;17;0.0;0.0
1;3;18;0.0;0.0
1;3;19;0.0;0.0
1;3;20;0.0;0.0
1;3;21;0.0;0.0
1;3;22;0.0;0.0
1;3;23;0.0;0.0
1;4;0;0.0;0.0
1;4;1;0.0;0.0
1;4;2;0.0;0.0
1;4;3;0.0;0.0
1;4;4;0.0;0.0
1;4;5;0.0;0.0
1;4;6;0.0;0.0
1;4;7;0.0;0.0
1;4;8;0.0;0.0
1;4;9;0.0;0.0
1;4;10;0.088;124.34
1;4;11;0.179;252.92
1;4;12;0.237;334.83
1;4;13;0.258;364.49
1;4;14;0.241;339.87
1;4;15;0.186;262.65
1;4;16;0.098;138.1
1;4;17;0.0;0.0
1;4;18;0.0;0.0
1;4;19;0.0;0.0
1;4;20;0.0;0.0
1;4;21;0.0;0.0
1;4;22;0.0;0.0
1;4;23;0.0;0.0
1;5;0;0.0;0.0
1;5;1;0.0;0.0
1;5;2;0.0;0.0
1;5;3;0.0;0.0
1;5;4;0.0;0.0
1;5;5;0.0;0.0
1;5;6;0.0;0.0
1;5;7;0.0;0.0
1;5;8;0.0;0.0
1;5;9;0.0;0.0
1;5;10;0.09;126.57
1;5;11;0.181;255.24
1;5;12;0.239;337.21
1;5;13;0.26;366.89
1;5;14;0.242;342.25
1;5;15;0.188;264.98
1;5;16;0.099;140.34
1;5;17;0.0;0.0
1;5;18;0.0;0.0
1;5;19;0.0;0.0
1;5;20;0.0;0.0
1;5;21;0.0;0.0
1;5;22;0.0;0.0
1;5;23;0.0;0.0
1;6;0;0.0;0.0
1;6;1;0.0;0.0
1;6;2;0.0;0.0
1;6;3;0.0;0.0
1;6;4;0.0;0.0
1;6;5;0.0;0.0
1;6;6;0.0;0.0
1;6;7;0.0;0.0
1;6;8;0.0;0.0
1;6;9;0.0;0.0
1;6;10;0.091;128.95
1;6;11;0.183;257.71
1;6;12;0.241;339.74
1;6;13;0.262;369.44
1;6;14;0.244;344.79
1;6;15;0.189;267.46
1;6;16;0.101;142.73
1;6;17;0.0;0.0
1;6;18;0.0;0.0
1;6;19;0.0;0.0
1;6;20;0.0;0.0
1;6;21;0.0;0.0
1;6;22;0.0;0.0
1;6;23;0.0;0.0
1;7;0;0.0;0.0
1;7;1;0.0;0.0
1;7;2;0.0;0.0
1;7;3;0.0;0.0
1;7;4;0.0;0.0
1;7;5;0.0;0.0
1;7;6;0.0;0.0
1;7;7;0.0;0.0
1;7;8;0.0;0.0
1;7;9;0.0;0.0
1;7;10;0.093;131.47
1;7;11;0.184;260.33
1;7;12;0.243;342.42
1;7;13;0.264;372.15
1;7;14;0.246;347.47
1;7;15;0.191;270.09
1;7;16;0.103;145.26
1;7;17;0.0;0.0
1;7;18;0.0;0.0
1;7;19;0.0;0.0
1;7;20;0.0;0.0
1;7;21;0.0;0.0
1;7;22;0.0;0.0
1;7;23;0.0;0.0
1;8;0;0.0;0.0
1;8;1;0.0;0.0
1;8;2;0.0;0.0
1;8;3;0.0;0.0
1;8;4;0.0;0.0
1;8;5;0.0;0.0
1;8;6;0.0;0.0
1;8;7;0.0;0.0
1;8;8;0.0;0.0
1;8;9;0.0;0.0
1;8;10;0.095;134.13
1;8;11;0.186;263.1
1;8;12;0.245;345.26
1;8;13;0.266;375.01
1;8;14;0.248;350.31
1;8;15;0.193;272.86
1;8;16;0.105;147.94
1;8;17;0.0;0.0
1;8;18;0.0;0.0
1;8;19;0.0;0.0
1;8;20;0.0;0.0
1;8;21;0.0;0.0
1;8;22;0.0;0.0
1;8;23;0.0;0.0
1;9;0;0.0;0.0
1;9;1;0.0;0.0
1;9;2;0.0;0.0
1;9;3;0.0;0.0
1;9;4;0.0;0.0
1;9;5;0.0;0.0
1;9;6;0.0;0.0
1;9;7;0.0;0.0
1;9;8;0.0;0.0
1;9;9;0.0;0.0
1;9;10;0.097;136.94
1;9;11;0.188;266.02
1;9;12;0.247;348.24
1;9;13;0.268;378.02
1;9;14;0.25;353.3
1;9;15;0.195;275.79
1;9;16;0.107;150.76
1;9;17;0.0;0.0
1;9;18;0.0;0.0
1;9;19;0.0;0.0
1;9;20;0.0;0.0
1;9;21;0.0;0.0
1;9;22;0.0;0.0
1;9;23;0.0;0.0
1;10;0;0.0;0.0
1;10;1;0.0;0.0
1;10;2;0.0;0.0
1;10;3;0.0;0.0
1;10;4;0.0;0.0
1;10;5;0.0;0.0
1;10;6;0.0;0.0
1;10;7;0.0;0.0
1;10;8;0.0;0.0
1;10;9;0.0;0.0
1;10;10;0.099;139.89
1;10;11;0.191;269.08
1;10;12;0.249;351.38
1;10;13;0.27;381.18
1;10;14;0.253;356.44
1;10;15;0.198;278.86
1;10;16;0.109;153.72
1;10;17;0.0;0.0
1;10;18;0.0;0.0
1;10;19;0.0;0.0
1;10;20;0.0;0.0
1;10;21;0.0;0.0
1;10;22;0.0;0.0
1;10;23;0.0;0.0
1;11;0;0.0;0.0
1;11;1;0.0;0.0
1;11;2;0.0;0.0
1;11;3;0.0;0.0
1;11;4;0.0;0.0
1;11;5;0.0;0.0
1;11;6;0.0;0.0
1;11;7;0.0;0.0
1;11;8;0.0;0.0
1;11;9;0.0;0.0
1;11;10;0.101;142.99
1;11;11;0.193;272.29
1;11;12;0.251;354.66
1;11;13;0.272;384.48
1;11;14;0.255;359.73
1;11;15;0.2;282.08
1;11;16;0.111;156.82
1;11;17;0.0;0.0
1;11;18;0.0;0.0
1;11;19;0.0;0.0
1;11;20;0.0;0.0
1;11;21;0.0;0.0
1;11;22;0.0;0.0
1;11;23;0.0;0.0
1;12;0;0.0;0.0
1;12;1;0.0;0.0
1;12;2;0.0;0.0
1;12;3;0.0;0.0
1;12;4;0.0;0.0
1;12;5;0.0;0.0
1;12;6;0.0;0.0
1;12;7;0.0;0.0
1;12;8;0.0;0.0
1;12;9;0.0;0.0
1;12;10;0.104;146.22
1;12;11;0.195;275.64
1;12;12;0.254;358.09
1;12;13;0.275;387.94
1;12;14;0.257;363.16
1;12;15;0.202;285.44
1;12;16;0.113;160.07
1;12;17;0.0;0.0
1;12;18;0.0;0.0
1;12;19;0.0;0.0
1;12;20;0.0;0.0
1;12;21;0.0;0.0
1;12;22;0.0;0.0
1;12;23;0.0;0.0
1;13;0;0.0;0.0
1;13;1;0.0;0.0
1;13;2;0.0;0.0
1;13;3;0.0;0.0
1;13;4;0.0;0.0
1;13;5;0.0;0.0
1;13;6;0.0;0.0
1;13;7;0.0;0.0
1;13;8;0.0;0.0
1;13;9;0.0;0.0
1;13;10;0.106;149.59
1;13;11;0.198;279.14
1;13;12;0.256;361.66
1;13;13;0.277;391.54
1;13;14;0.26;366.74
1;13;15;0.205;288.94
1;13;16;0.116;163.45
1;13;17;0.0;0.0
1;13;18;0.0;0.0
1;13;19;0.0;0.0
1;13;20;0.0;0.0
1;13;21;0.0;0.0
1;13;22;0.0;0.0
1;13;23;0.0;0.0
1;14;0;0.0;0.0
1;14;1;0.0;0.0
1;14;2;0.0;0.0
1;14;3;0.0;0.0
1;14;4;0.0;0.0
1;14;5;0.0;0.0
1;14;6;0.0;0.0
1;14;7;0.0;0.0
1;14;8;0.0;0.0
1;14;9;0.0;0.0
1;14;10;0.109;153.1
1;14;11;0.2;282.77
1;14;12;0.259;365.38
1;14;13;0.28;395.29
1;14;14;0.263;370.46
1;14;15;0.207;292.59
1;14;16;0.118;166.98
1;14;17;0.002;2.19
1;14;18;0.0;0.0
1;14;19;0.0;0.0
1;14;20;0.0;0.0
1;14;21;0.0;0.0
1;14;22;0.0;0.0
1;14;23;0.0;0.0
1;15;0;0.0;0.0
1;15;1;0.0;0.0
1;15;2;0.0;0.0
1;15;3;0.0;0.0
1;15;4;0.0;0.0
1;15;5;0.0;0.0
1;15;6;0.0;0.0
1;15;7;0.0;0.0
1;15;8;0.0;0.0
1;15;9;0.0;0.0
1;15;10;0.111;156.74
1;15;11;0.203;286.55
1;15;12;0.262;369.23
1;15;13;0.283;399.17
1;15;14;0.265;374.32
1;15;15;0.21;296.37
1;15;16;0.121;170.63
1;15;17;0.004;5.68
1;15;18;0.0;0.0
1;15;19;0.0;0.0
1;15;20;0.0;0.0
1;15;21;0.0;0.0
1;15;22;0.0;0.0
1;15;23;0.0;0.0
1;16;0;0.0;0.0
1;16;1;0.0;0.0
1;16;2;0.0;0.0
1;16;3;0.0;0.0
1;16;4;0.0;0.0
1;16;5;0.0;0.0
1;16;6;0.0;0.0
1;16;7;0.0;0.0
1;16;8;0.0;0.0
1;16;9;0.0;0.0
1;16;10;0.114;160.52
1;16;11;0.206;290.46
1;16;12;0.265;373.23
1;16;13;0.286;403.2
1;16;14;0.268;378.32
1;16;15;0.213;300.29
1;16;16;0.124;174.43
1;16;17;0.007;9.31
1;16;18;0.0;0.0
1;16;19;0.0;0.0
1;16;20;0.0;0.0
1;16;21;0.0;0.0
1;16;22;0.0;0.0
1;16;23;0.0;0.0
1;17;0;0.0;0.0
1;17;1;0.0;0.0
1;17;2;0.0;0.0
1;17;3;0.0;0.0
1;17;4;0.0;0.0
1;17;5;0.0;0.0
1;17;6;0.0;0.0
1;17;7;0.0;0.0
1;17;8;0.0;0.0
1;17;9;0.0;0.0
1;17;10;0.117;164.43
1;17;11;0.209;294.51
1;17;12;0.268;377.37
1;17;13;0.289;407.37
1;17;14;0.271;382.46
1;17;15;0.216;304.35
1;17;16;0.126;178.35
1;17;17;0.009;13.06
1;17;18;0.0;0.0
1;17;19;0.0;0.0
1;17;20;0.0;0.0
1;17;21;0.0;0.0
1;17;22;0.0;0.0
1;17;23;0.0;0.0
1;18;0;0.0;0.0
1;18;1;0.0;0.0
1;18;2;0.0;0.0
1;18;3;0.0;0.0
1;18;4;0.0;0.0
1;18;5;0.0;0.0
1;18;6;0.0;0.0
1;18;7;0.0;0.0
1;18;8;0.0;0.0
1;18;9;0.0;0.0
1;18;10;0.119;168.48
1;18;11;0.212;298.69
1;18;12;0.271;381.64
1;18;13;0.292;411.67
1;18;14;0.274;386.74
1;18;15;0.219;308.54
1;18;16;0.129;182.41
1;18;17;0.012;16.94
1;18;18;0.0;0.0
1;18;19;0.0;0.0
1;18;20;0.0;0.0
1;18;21;0.0;0.0
1;18;22;0.0;0.0
1;18;23;0.0;0.0
1;19;0;0.0;0.0
1;19;1;0.0;0.0
1;19;2;0.0;0.0
1;19;3;0.0;0.0
1;19;4;0.0;0.0
1;19;5;0.0;0.0
1;19;6;0.0;0.0
1;19;7;0.0;0.0
1;19;8;0.0;0.0
1;19;9;0.003;3.86
1;19;10;0.122;172.65
1;19;11;0.215;303.0
1;19;12;0.274;386.04
1;19;13;0.295;416.11
1;19;14;0.277;391.15
1;19;15;0.222;312.87
1;19;16;0.132;186.6
1;19;17;0.015;20.95
1;19;18;0.0;0.0
1;19;19;0.0;0.0
1;19;20;0.0;0.0
1;19;21;0.0;0.0
1;19;22;0.0;0.0
1;19;23;0.0;0.0
1;20;0;0.0;0.0
1;20;1;0.0;0.0
1;20;2;0.0;0.0
1;20;3;0.0;0.0
1;20;4;0.0;0.0
1;20;5;0.0;0.0
1;20;6;0.0;0.0
1;20;7;0.0;0.0
1;20;8;0.0;0.0
1;20;9;0.006;7.98
1;20;10;0.126;176.95
1;20;11;0.218;307.45
1;20;12;0.277;390.58
1;20;13;0.298;420.68
1;20;14;0.281;395.69
1;20;15;0.225;317.33
1;20;16;0.135;190.92
1;20;17;0.018;25.08
1;20;18;0.0;0.0
1;20;19;0.0;0.0
1;20;20;0.0;0.0
1;20;21;0.0;0.0
1;20;22;0.0;0.0
1;20;23;0.0;0.0
1;21;0;0.0;0.0
1;21;1;0.0;0.0
1;21;2;0.0;0.0
1;21;3;0.0;0.0
1;21;4;0.0;0.0
1;21;5;0.0;0.0
1;21;6;0.0;0.0
1;21;7;0.0;0.0
1;21;8;0.0;0.0
1;21;9;0.009;12.22
1;21;10;0.129;181.38
1;21;11;0.221;312.03
1;21;12;0.28;395.25
1;21;13;0.302;425.38
1;21;14;0.284;400.37
1;21;15;0.228;321.91
1;21;16;0.139;195.36
1;21;17;0.021;29.34
1;21;18;0.0;0.0
1;21;19;0.0;0.0
1;21;20;0.0;0.0
1;21;21;0.0;0.0
1;21;22;0.0;0.0
1;21;23;0.0;0.0
1;22;0;0.0;0.0
1;22;1;0.0;0.0
1;22;2;0.0;0.0
1;22;3;0.0;0.0
1;22;4;0.0;0.0
1;22;5;0.0;0.0
1;22;6;0.0;0.0
1;22;7;0.0;0.0
1;22;8;0.0;0.0
1;22;9;0.012;16.58
1;22;10;0.132;185.93
1;22;11;0.225;316.73
1;22;12;0.284;400.05
1;22;13;0.305;430.21
1;22;14;0.288;405.17
1;22;15;0.232;326.63
1;22;16;0.142;199.93
1;22;17;0.024;33.72
1;22;18;0.0;0.0
1;22;19;0.0;0.0
1;22;20;0.0;0.0
1;22;21;0.0;0.0
1;22;22;0.0;0.0
1;22;23;0.0;0.0
1;23;0;0.0;0.0
1;23;1;0.0;0.0
1;23;2;0.0;0.0
1;23;3;0.0;0.0
1;23;4;0.0;0.0
1;23;5;0.0;0.0
1;23;6;0.0;0.0
1;23;7;0.0;0.0
1;23;8;0.0;0.0
1;23;9;0.015;21.06
1;23;10;0.135;190.61
1;23;11;0.228;321.55
1;23;12;0.287;404.97
1;23;13;0.309;435.17
1;23;14;0.291;410.1
1;23;15;0.235;331.46
1;23;16;0.145;204.62
1;23;17;0.027;38.22
1;23;18;0.0;0.0
1;23;19;0.0;0.0
1;23;20;0.0;0.0
1;23;21;0.0;0.0
1;23;22;0.0;0.0
1;23;23;0.0;0.0
1;24;0;0.0;0.0
1;24;1;0.0;0.0
1;24;2;0.0;0.0
1;24;3;0.0;0.0
1;24;4;0.0;0.0
1;24;5;0.0;0.0
1;24;6;0.0;0.0
1;24;7;0.0;0.0
1;24;8;0.0;0.0
1;24;9;0.018;25.66
1;24;10;0.139;195.41
1;24;11;0.232;326.5
1;24;12;0.291;410.01
1;24;13;0.313;440.25
1;24;14;0.295;415.15
1;24;15;0.239;336.42
1;24;16;0.149;209.44
1;24;17;0.03;42.85
1;24;18;0.0;0.0
1;24;19;0.0;0.0
1;24;20;0.0;0.0
1;24;21;0.0;0.0
1;24;22;0.0;0.0
1;24;23;0.0;0.0
1;25;0;0.0;0.0
1;25;1;0.0;0.0
1;25;2;0.0;0.0
1;25;3;0.0;0.0
1;25;4;0.0;0.0
1;25;5;0.0;0.0
1;25;6;0.0;0.0
1;25;7;0.0;0.0
1;25;8;0.0;0.0
1;25;9;0.022;30.38
1;25;10;0.142;200.32
1;25;11;0.235;331.57
1;25;12;0.295;415.18
1;25;13;0.316;445.45
1;25;14;0.299;420.32
1;25;15;0.243;341.51
1;25;16;0.152;214.37
1;25;17;0.034;47.58
1;25;18;0.0;0.0
1;25;19;0.0;0.0
1;25;20;0.0;0.0
1;25;21;0.0;0.0
