YEAR;MO;DY;HR;ALLSKY_SFC_SW_DWN
2001;10;1;0;0
2001;10;1;1;0
2001;10;1;2;0
2001;10;1;3;0
2001;10;1;4;0
2001;10;1;5;0
2001;10;1;6;22,72
2001;10;1;7;95,32
2001;10;1;8;155,65
2001;10;1;9;180,37
2001;10;1;10;292,8
2001;10;1;11;287,13
2001;10;1;12;244,55
2001;10;1;13;211,77
2001;10;1;14;188,03
2001;10;1;15;135,25
2001;10;1;16;30,09
2001;10;1;17;7,69
2001;10;1;18;0
2001;10;1;19;0
2001;10;1;20;0
2001;10;1;21;0
2001;10;1;22;0
2001;10;1;23;0
2001;10;2;0;0
2001;10;2;1;0
2001;10;2;2;0
2001;10;2;3;0
2001;10;2;4;0
2001;10;2;5;0
2001;10;2;6;29,89
2001;10;2;7;178,36
2001;10;2;8;336,77
2001;10;2;9;458,49
2001;10;2;10;549,61
2001;10;2;11;594,59
2001;10;2;12;574,96
2001;10;2;13;510,05
2001;10;2;14;412,22
2001;10;2;15;285,32
2001;10;2;16;130,65
2001;10;2;17;14,1
2001;10;2;18;0
2001;10;2;19;0
2001;10;2;20;0
2001;10;2;21;0
2001;10;2;22;0
2001;10;2;23;0
2001;10;3;0;0
2001;10;3;1;0
2001;10;3;2;0
2001;10;3;3;0
2001;10;3;4;0
2001;10;3;5;0
2001;10;3;6;29,36
2001;10;3;7;176,46
2001;10;3;8;332,8
2001;10;3;9;457
2001;10;3;10;545,61
2001;10;3;11;589,12
2001;10;3;12;571,41
2001;10;3;13;505,72
2001;10;3;14;397,96
2001;10;3;15;273,45
2001;10;3;16;123,54
2001;10;3;17;11,43
2001;10;3;18;0
2001;10;3;19;0
2001;10;3;20;0
2001;10;3;21;0
2001;10;3;22;0
2001;10;3;23;0
2001;10;4;0;0
2001;10;4;1;0
2001;10;4;2;0
2001;10;4;3;0
2001;10;4;4;0
2001;10;4;5;0
2001;10;4;6;20,96
2001;10;4;7;84,66
2001;10;4;8;155,75
2001;10;4;9;218,54
2001;10;4;10;201,85
2001;10;4;11;209,34
2001;10;4;12;212,53
2001;10;4;13;128,96
2001;10;4;14;128,63
2001;10;4;15;82,45
2001;10;4;16;37,1
2001;10;4;17;3,73
2001;10;4;18;0
2001;10;4;19;0
2001;10;4;20;0
2001;10;4;21;0
2001;10;4;22;0
2001;10;4;23;0
2001;10;5;0;0
2001;10;5;1;0
2001;10;5;2;0
2001;10;5;3;0
2001;10;5;4;0
2001;10;5;5;0
2001;10;5;6;16,42
2001;10;5;7;74,8
2001;10;5;8;136,49
2001;10;5;9;243,91
2001;10;5;10;240,24
2001;10;5;11;309,89
2001;10;5;12;300,83
2001;10;5;13;299,05
2001;10;5;14;247,13
2001;10;5;15;165,73
2001;10;5;16;77,3
2001;10;5;17;8,23
2001;10;5;18;0
2001;10;5;19;0
2001;10;5;20;0
2001;10;5;21;0
2001;10;5;22;0
2001;10;5;23;0
2001;10;6;0;0
2001;10;6;1;0
2001;10;6;2;0
2001;10;6;3;0
2001;10;6;4;0
2001;10;6;5;0
2001;10;6;6;20,44
2001;10;6;7;106,7
2001;10;6;8;196,62
2001;10;6;9;282,16
2001;10;6;10;348,55
2001;10;6;11;472,35
2001;10;6;12;480,59
2001;10;6;13;443,22
2001;10;6;14;333,99
2001;10;6;15;216,87
2001;10;6;16;79,35
2001;10;6;17;7,34
2001;10;6;18;0
2001;10;6;19;0
2001;10;6;20;0
2001;10;6;21;0
2001;10;6;22;0
2001;10;6;23;0
2001;10;7;0;0
2001;10;7;1;0
2001;10;7;2;0
2001;10;7;3;0
2001;10;7;4;0
2001;10;7;5;0
2001;10;7;6;16,48
2001;10;7;7;126,84
2001;10;7;8;256,88
2001;10;7;9;374,28
2001;10;7;10;469,03
2001;10;7;11;505,65
2001;10;7;12;504,52
2001;10;7;13;438,83
2001;10;7;14;357,56
2001;10;7;15;221,05
2001;10;7;16;85,3
2001;10;7;17;0
2001;10;7;18;0
2001;10;7;19;0
